id,name,abbrev,logo,build_up_play_speed,build_up_play_dribble,build_up_play_passing,creation_date
10251,Hibernian,HIB,https://example.com/logos/10251.png,Balanced,Normal,Mixed,2014-09-19
8485,Aberdeen,ABE,https://example.com/logos/8485.png,Balanced,Normal,Mixed,2015-09-10
8066,Inverness Caledonian Thistle,INV,https://example.com/logos/8066.png,Balanced,Normal,Short,2015-09-10
9925,Celtic,CEL,https://example.com/logos/9925.png,Balanced,Normal,Mixed,2015-09-10
9800,St. Mirren,MIR,https://example.com/logos/9800.png,Balanced,Normal,Short,2015-09-10
8429,Hamilton Academical FC,HAM,https://example.com/logos/8429.png,Balanced,Normal,Mixed,2015-09-10
9938,Dundee United,DUU,https://example.com/logos/9938.png,Balanced,Normal,Mixed,2015-09-10
8467,St. Johnstone FC,JOH,https://example.com/logos/8467.png,Balanced,Normal,Mixed,2015-09-10
8457,Dunfermline Athletic,DUN,https://example.com/logos/8457.png,Balanced,Little,Mixed,2012-02-22
8284,Dundee FC,DUF,https://example.com/logos/8284.png,Balanced,Normal,Mixed,2015-09-10
8649,Ross County FC,ROS,https://example.com/logos/8649.png,Balanced,Normal,Mixed,2015-09-10
8426,Partick Thistle F.C.,PAR,https://example.com/logos/8426.png,Balanced,Normal,Mixed,2015-09-10
10267,Valencia CF,VAL,https://example.com/logos/10267.png,Balanced,Normal,Mixed,2015-09-10
8661,RCD Mallorca,MAL,https://example.com/logos/8661.png,Balanced,Normal,Mixed,2015-09-10
8371,CA Osasuna,OSA,https://example.com/logos/8371.png,Balanced,Normal,Mixed,2015-09-10
10205,Villarreal CF,VIL,https://example.com/logos/10205.png,Balanced,Normal,Mixed,2015-09-10
9783,RC Deportivo de La Coruña,COR,https://example.com/logos/9783.png,Balanced,Normal,Mixed,2015-09-10
8633,Real Madrid CF,REA,https://example.com/logos/8633.png,Balanced,Normal,Mixed,2015-09-10
8388,CD Numancia,NUM,https://example.com/logos/8388.png,Balanced,Normal,Mixed,2015-09-10
8634,FC Barcelona,BAR,https://example.com/logos/8634.png,Balanced,Normal,Mixed,2015-09-10
8696,Racing Santander,SAN,https://example.com/logos/8696.png,Balanced,Normal,Mixed,2015-09-10
8302,Sevilla FC,SEV,https://example.com/logos/8302.png,Balanced,Normal,Mixed,2015-09-10
9869,Real Sporting de Gijón,SPG,https://example.com/logos/9869.png,Balanced,Normal,Mixed,2015-09-10
8305,Getafe CF,GET,https://example.com/logos/8305.png,Balanced,Normal,Mixed,2015-09-10
8603,Real Betis Balompié,BET,https://example.com/logos/8603.png,Balanced,Normal,Mixed,2015-09-10
8479,RC Recreativo,HUE,https://example.com/logos/8479.png,Balanced,Normal,Mixed,2015-09-10
8558,RCD Espanyol,ESP,https://example.com/logos/8558.png,Balanced,Normal,Mixed,2015-09-10
10281,Real Valladolid,VAL,https://example.com/logos/10281.png,Balanced,Normal,Mixed,2015-09-10
8315,Athletic Club de Bilbao,BIL,https://example.com/logos/8315.png,Balanced,Normal,Mixed,2015-09-10
9865,UD Almería,ALM,https://example.com/logos/9865.png,Balanced,Normal,Mixed,2015-09-10
9906,Atlético Madrid,AMA,https://example.com/logos/9906.png,Balanced,Normal,Mixed,2015-09-10
9864,Málaga CF,MAL,https://example.com/logos/9864.png,Balanced,Normal,Mixed,2015-09-10
9868,Xerez Club Deportivo,XER,https://example.com/logos/9868.png,Balanced,Little,Mixed,2013-09-20
8394,Real Zaragoza,ZAR,https://example.com/logos/8394.png,Balanced,Normal,Mixed,2015-09-10
9867,CD Tenerife,TEN,https://example.com/logos/9867.png,Balanced,Normal,Mixed,2015-09-10
10278,Hércules Club de Fútbol,HER,https://example.com/logos/10278.png,Balanced,Normal,Mixed,2014-09-19
8581,Levante UD,LEV,https://example.com/logos/8581.png,Balanced,Normal,Mixed,2015-09-10
8560,Real Sociedad,SOC,https://example.com/logos/8560.png,Balanced,Normal,Mixed,2015-09-10
7878,Granada CF,GRA,https://example.com/logos/7878.png,Balanced,Normal,Mixed,2015-09-10
8370,Rayo Vallecano,RAY,https://example.com/logos/8370.png,Slow,Normal,Mixed,2015-09-10
9910,RC Celta de Vigo,CEL,https://example.com/logos/9910.png,Balanced,Normal,Mixed,2015-09-10
10268,Elche CF,ELC,https://example.com/logos/10268.png,Balanced,Normal,Mixed,2015-09-10
8372,SD Eibar,EIB,https://example.com/logos/8372.png,Balanced,Normal,Mixed,2015-09-10
7869,Córdoba CF,COR,https://example.com/logos/7869.png,Balanced,Normal,Mixed,2015-09-10
8306,UD Las Palmas,LAS,https://example.com/logos/8306.png,Balanced,Normal,Mixed,2015-09-10
9956,Grasshopper Club Zürich,GRA,https://example.com/logos/9956.png,Balanced,Normal,Mixed,2015-09-10
6493,AC Bellinzona,BEL,https://example.com/logos/6493.png,Balanced,Little,Mixed,2011-02-22
10192,BSC Young Boys,YB,https://example.com/logos/10192.png,Balanced,Normal,Mixed,2015-09-10
9931,FC Basel,BAS,https://example.com/logos/9931.png,Balanced,Normal,Mixed,2015-09-10
9930,FC Aarau,AAR,https://example.com/logos/9930.png,Balanced,Normal,Mixed,2015-09-10
10179,FC Sion,SIO,https://example.com/logos/10179.png,Balanced,Normal,Mixed,2015-09-10
10199,FC Luzern,LUZ,https://example.com/logos/10199.png,Balanced,Normal,Mixed,2015-09-10
9824,FC Vaduz,VAD,https://example.com/logos/9824.png,Balanced,Little,Mixed,2015-09-10
7955,Neuchâtel Xamax,XAM,https://example.com/logos/7955.png,Balanced,Little,Mixed,2012-02-22
10243,FC Zürich,ZUR,https://example.com/logos/10243.png,Balanced,Normal,Mixed,2015-09-10
10190,FC St. Gallen,GAL,https://example.com/logos/10190.png,Balanced,Normal,Mixed,2015-09-10
10191,FC Thun,THU,https://example.com/logos/10191.png,Balanced,Normal,Mixed,2015-09-10
9777,Servette FC,SER,https://example.com/logos/9777.png,Balanced,Little,Mixed,2013-09-20
7730,FC Lausanne-Sports,LAU,https://example.com/logos/7730.png,Balanced,Normal,Mixed,2014-09-19
7896,Lugano,LUG,https://example.com/logos/7896.png,,,,
